X,Y
0,201.333
1,200.333
2,203.333
3,203.333
4,204.333
5,205.333
6,205.333
7,205.333
8,203.333
9,201.333
10,204.333
11,205.333
12,206.333
13,205.333
14,204.333
15,204.333
16,205.333
17,206.333
18,205.333
19,205.333
20,205.333
21,204.333
22,204.333
23,204.333
24,204.333
25,204.333
26,203.333
27,204.333
28,205.333
29,204.333
30,203.333
31,202.333
32,203.333
33,204.333
34,206.333
35,204.333
36,203.333
37,202.333
38,202.333
39,205.333
40,206.333
41,202.333
42,203.333
43,205.333
44,206.333
45,204.333
46,201.333
47,200.333
48,202.333
49,204.333
50,205.333
51,203.333
52,203.333
53,204.333
54,205.333
55,204.333
56,203.333
57,203.333
58,206.000
59,205.000
60,204.000
61,205.000
62,206.000
63,206.000
64,205.000
65,203.000
66,204.333
67,205.333
68,205.333
69,204.333
70,203.333
71,202.333
72,203.333
73,204.333
74,203.333
75,203.333
76,202.333
77,202.333
78,201.333
79,201.333
80,202.333
81,202.333
82,203.333
83,202.333
84,202.333
85,202.333
86,201.333
87,199.333
88,199.333
89,200.333
90,202.333
91,203.333
92,203.333
93,203.333
94,203.333
95,202.333
96,203.333
97,204.333
98,201.333
99,201.333
100,202.333
101,202.333
102,203.333
103,203.333
104,203.333
105,202.333
106,199.333
107,201.333
108,203.333
109,203.333
110,203.333
111,201.333
112,201.333
113,200.333
114,201.333
115,201.333
116,201.333
117,201.333
118,202.333
119,202.333
120,200.333
121,199.333
122,200.333
123,200.333
124,201.333
125,201.333
126,200.333
127,199.333
128,199.333
129,200.333
130,202.333
131,200.333
132,197.333
133,197.333
134,201.333
135,204.333
136,202.333
137,198.333
138,199.333
139,199.333
140,199.333
141,199.333
142,199.333
143,199.333
144,199.333
145,199.333
146,199.333
147,198.333
148,197.333
149,198.333
150,200.333
151,201.333
152,201.333
153,200.333
154,198.333
155,198.333
156,197.333
157,198.333
158,198.333
159,198.333
160,198.333
161,197.333
162,198.333
163,198.333
164,198.333
165,197.333
