X,Y
0,212.6667
1,212.6667
2,211.3333
3,213.3333
4,213.3333
5,211.3333
6,210.3333
7,212.3333
8,213.3333
9,212.3333
10,212.3333
11,212.3333
12,213.3333
13,214.3333
14,214.3333
15,213.3333
16,210.3333
17,208.3333
18,214.3333
19,212.6667
20,213.6667
21,214.6667
22,213.6667
23,211.6667
24,213.3333
25,215.3333
26,212.3333
27,213.3333
28,213.3333
29,212.3333
30,211.3333
31,210.3333
32,211.3333
33,213.3333
34,212.6667
35,212.6667
36,213.6667
37,215.6667
38,215.6667
39,215.6667
40,213.6667
41,211.6667
42,212.6667
43,211.6667
44,210.6667
45,212.6667
46,213.6667
47,214.6667
48,213.6667
49,211.6667
50,212.3333
51,211.3333
52,211.3333
53,211.3333
54,212.3333
55,213.3333
56,212.3333
57,212.3333
58,212.6667
59,212.6667
60,211.6667
61,211.6667
62,211.6667
63,211.6667
64,212.6667
65,212.6667
66,213.6667
67,212.6667
68,210.6667
69,209.6667
70,209.6667
71,211.6667
72,212.6667
73,213.6667
74,211.6667
75,211.6667
76,211.6667
77,211.6667
78,211.6667
79,210.6667
80,210.6667
81,210.6667
82,209.3333
83,210.3333
84,211.3333
85,210.3333
86,208.3333
87,208.3333
88,209.3333
89,210.3333
90,211.3333
91,210.3333
92,208.3333
93,208.3333
94,210.3333
95,211.3333
96,211.3333
97,211.3333
98,209.3333
99,209.3333
100,208.3333
101,208.3333
102,208.3333
103,208.3333
104,208.3333
105,209.3333
106,209.3333
107,209.3333
108,209.3333
109,208.3333
110,206.3333
111,203.3333
112,203.3333
113,205.3333
114,202.3333
115,210.3333
116,212.3333
117,208.3333
118,206.3333
119,209.3333
120,210.3333
121,207.3333
122,208.3333
123,209.3333
124,210.3333
125,209.3333
126,207.3333
127,206.3333
128,206.3333
129,207.3333
130,208.3333
131,208.3333
132,208.3333
133,208.3333
134,207.3333
135,207.3333
136,207.0000
137,207.0000
138,207.0000
139,208.0000
140,208.0000
141,207.0000
142,207.0000
143,208.0000
144,208.0000
145,206.0000
146,205.6667
147,207.6667
148,207.6667
149,205.6667
150,205.6667
151,207.6667
152,207.6667
153,205.6667
154,205.6667
155,204.6667
156,205.6667
157,208.6667
158,206.6667
159,202.6667
160,202.6667
161,206.6667
162,207.6667
163,206.6667
164,206.6667
165,206.6667
166,205.6667
167,205.6667
168,205.6667
169,205.6667
170,205.6667
171,206.6667
172,205.3333
173,203.3333
174,203.3333
175,205.3333
176,205.3333
177,204.3333
178,207.3333
179,203.3333
180,202.3333
181,204.3333
182,205.3333
183,204.3333
184,203.6667
185,203.6667
186,200.6667
187,201.6667
188,203.3333
189,202.3333
190,201.0000
191,200.0000
192,200.0000
193,201.0000
194,203.0000
195,201.0000
196,197.6667
197,196.6667
198,197.6667
199,198.6667
200,199.6667
201,200.6667
202,197.6667
203,196.6667
204,196.6667
205,197.6667
206,198.6667
207,198.6667
208,198.3333
209,197.3333
210,197.6667
211,197.6667
212,196.6667
213,196.6667
214,196.6667
215,197.6667
216,195.6667
217,194.6667
218,194.3333
219,193.3333
220,193.3333
221,193.3333
222,194.3333
223,194.3333
224,194.3333
225,193.3333
226,194.3333
227,190.3333
228,189.6667
229,191.6667
230,190.6667
