X,Y
0,157.000
1,168.000
2,185.000
3,170.000
4,169.000
5,160.000
6,166.000
7,157.000
8,165.000
9,159.000
10,163.000
11,158.000
12,156.667
13,159.667
14,154.667
15,159.667
16,163.667
17,164.333
18,173.333
19,174.333
20,175.333
21,173.667
22,176.667
23,169.667
24,172.000
25,166.000
26,161.000
27,168.000
28,171.000
29,159.000
30,156.333
31,162.333
32,176.333
33,180.000
34,179.000
35,171.000
36,167.000
37,168.000
38,165.000
39,159.000
40,170.667
41,171.667
42,169.667
43,168.667
44,167.000
45,163.000
46,162.000
47,160.000
48,159.000
49,165.000
50,164.000
51,166.000
52,165.000
53,166.000
54,167.333
55,154.333
56,158.333
57,163.667
58,162.667
59,162.667
60,163.667
61,166.000
62,172.000
63,171.000
64,162.000
65,167.000
66,171.000
67,172.667
68,172.667
69,172.667
70,171.333
71,170.333
72,173.667
73,165.667
74,162.667
75,160.667
76,156.000
77,157.000
78,156.000
79,149.000
80,153.667
81,162.667
82,170.000
83,175.000
84,173.667
85,169.667
86,171.667
87,168.667
88,180.667
89,174.667
90,162.667
91,162.667
92,179.667
93,171.667
94,169.000
95,164.000
96,161.000
97,169.000
98,168.667
99,167.667
100,166.667
101,167.667
102,169.000
103,163.000
104,164.000
105,173.667
106,178.667
107,173.000
108,164.000
109,158.000
110,151.667
111,146.667
112,151.667
113,154.667
114,155.667
115,152.667
116,151.667
117,153.667
118,156.667
119,157.667
120,158.667
121,154.667
122,167.667
123,165.667
124,164.667
125,162.667
126,171.667
127,162.667
128,164.667
129,164.667
130,169.000
131,170.000
132,166.000
133,169.000
134,168.333
135,160.333
136,159.000
137,146.000
138,142.333
139,149.333
140,154.333
141,154.333
142,151.000
143,148.000
144,150.000
145,151.000
146,151.667
147,150.667
148,150.667
149,151.000
150,150.000
151,148.000
152,148.667
153,148.667
154,151.667
155,155.333
156,145.667
157,138.333
158,148.000
159,152.333
160,158.333
161,158.000
162,161.000
163,164.000
164,163.000
165,157.333
166,150.333
167,147.667
168,147.000
169,145.000
170,160.000
171,149.000
172,150.000
173,151.000
174,149.667
175,149.667
176,154.667
177,153.000
178,150.000
179,146.000
180,143.667
181,142.667
182,145.667
183,147.333
184,148.333
185,145.333
186,142.667
187,136.667
188,133.000
189,141.000
190,143.667
191,135.667
192,137.667
193,145.667
194,146.667
195,156.667
196,164.667
197,165.667
198,161.333
199,150.333
200,148.667
201,140.667
202,134.667
203,134.667
204,136.667
205,141.667
206,141.333
207,135.333
208,141.667
209,140.667
210,134.667
211,140.667
212,142.667
213,140.667
214,143.333
215,136.333
216,140.333
217,138.333
218,137.333
219,138.333
220,139.333
221,141.333
222,140.667
223,132.667
224,142.667
225,142.667
226,138.667
227,144.667
228,147.333
229,137.333
230,129.333
231,124.333
232,123.333
233,121.333
234,123.333
235,125.333
236,121.667
237,121.667
238,120.667
239,116.667
240,118.667
241,116.667
242,117.667
243,121.667
244,123.667
245,122.667
246,122.667
247,124.667
248,127.333
249,126.000
250,127.667
251,129.667
252,129.333
253,127.333
254,127.000
255,127.000
256,131.000
257,126.000
258,127.000
259,127.000
260,128.000
261,129.000
262,127.000
263,130.000
264,132.000
265,126.333
266,126.000
267,129.000
268,130.333
269,132.333
270,135.333
271,134.333
272,135.000
273,127.667
274,127.667
275,124.000
276,130.000
277,131.000
278,140.667
279,139.667
280,142.667
281,140.667
282,132.667
283,126.667
284,131.333
285,142.333
286,143.333
287,137.000
288,133.000
289,136.000
290,138.000
291,139.000
292,137.667
293,136.667
294,130.667
295,121.667
296,123.667
297,134.667
298,135.667
299,132.667
300,123.667
301,119.667
302,130.667
303,133.667
304,134.667
305,134.667
306,117.667
307,121.333
