X,Y
0,167.667
1,170.667
2,172.667
3,170.667
4,161.667
5,165.667
6,176.667
7,169.667
8,166.667
9,168.667
10,169.667
11,176.667
12,173.000
13,168.000
14,177.000
15,176.000
16,188.667
17,179.667
18,185.667
19,179.667
20,176.000
21,181.000
22,174.000
23,170.000
24,175.667
25,171.667
26,165.667
27,168.667
28,165.667
29,168.667
30,183.000
31,183.000
32,180.000
33,188.000
34,187.000
35,184.000
36,180.000
37,183.000
38,186.000
39,173.000
40,173.667
41,176.667
42,185.667
43,185.667
44,178.667
45,185.667
46,189.667
47,179.667
48,183.667
49,183.667
50,176.667
51,178.667
52,187.667
53,181.667
54,170.667
55,170.667
56,172.667
57,160.667
58,162.667
59,172.667
60,176.667
61,181.667
62,181.667
63,172.667
64,176.667
65,183.667
66,177.667
67,179.667
68,181.667
69,172.667
70,170.667
71,174.667
72,187.667
73,178.667
74,179.667
75,173.667
76,176.667
77,170.667
78,171.667
79,160.667
80,177.667
81,179.667
82,182.667
83,180.667
84,175.667
85,180.667
86,183.667
87,176.667
88,181.667
89,174.667
90,160.667
91,175.667
92,185.667
93,179.667
94,182.667
95,174.667
96,176.667
97,169.667
98,180.667
99,171.667
100,175.667
101,181.667
102,181.667
103,171.667
104,174.667
105,180.667
106,175.667
107,173.667
108,173.667
109,172.667
110,172.667
111,161.667
112,161.667
113,159.667
114,158.000
115,159.000
116,163.000
117,169.000
118,168.000
119,164.667
120,166.667
121,162.667
122,162.667
123,166.667
124,176.000
125,171.000
126,179.000
127,170.000
128,180.000
129,175.000
130,167.000
131,177.000
132,179.000
133,163.000
134,157.000
135,159.000
136,158.000
137,155.000
138,149.000
139,140.000
140,143.000
141,156.000
142,158.000
143,146.000
144,151.000
145,154.000
146,152.667
147,158.667
148,159.667
149,153.667
150,154.667
151,150.667
152,155.333
153,159.333
154,164.333
155,160.333
156,153.667
157,154.667
158,157.333
159,156.000
160,156.000
161,158.000
162,164.000
163,168.000
164,159.333
165,157.333
166,157.333
167,140.333
168,146.000
169,157.000
170,157.667
171,159.667
172,156.000
173,154.000
174,160.667
175,159.667
176,157.667
177,152.667
178,152.333
179,151.000
180,148.333
181,148.333
182,144.333
183,134.333
184,150.000
185,152.000
186,145.333
187,156.333
188,157.000
189,146.000
190,149.000
191,144.000
192,147.000
193,147.000
194,151.667
195,152.667
196,151.667
197,158.667
198,156.667
199,140.667
200,134.667
201,139.667
202,131.667
203,138.667
204,140.667
205,139.667
206,149.333
207,138.333
208,145.333
209,144.333
210,145.333
211,149.333
212,153.333
213,153.333
214,151.000
215,150.000
216,141.000
217,136.000
218,141.000
219,146.000
220,146.000
221,150.000
