X,Y
0,174.000
1,172.000
2,169.000
3,168.000
4,168.000
5,169.000
6,169.000
7,168.000
8,169.667
9,167.667
10,168.667
11,169.667
12,169.667
13,171.667
14,173.667
15,171.667
16,170.667
17,169.667
18,170.667
19,169.667
20,165.667
21,167.667
22,168.667
23,165.667
24,164.667
25,163.667
26,167.667
27,170.667
28,167.667
29,168.667
30,172.667
31,170.667
32,171.667
33,170.667
34,168.667
35,167.667
36,168.667
37,171.667
38,170.667
39,167.667
40,170.667
41,170.667
42,169.667
43,167.667
44,170.667
45,173.667
46,172.667
47,168.667
48,171.667
49,169.667
50,167.667
51,169.667
52,170.667
53,164.667
54,160.667
55,163.667
56,167.333
57,169.333
58,169.333
59,167.333
60,168.333
61,170.333
62,170.333
63,168.333
64,168.333
65,168.333
66,166.333
67,163.333
68,162.333
69,167.333
70,166.333
71,159.333
72,169.333
73,171.333
74,169.333
75,167.333
76,170.333
77,171.333
78,168.333
79,167.333
80,170.333
81,171.333
82,170.333
83,168.333
84,168.333
85,170.333
86,169.333
87,167.333
88,169.667
89,170.667
90,169.667
91,167.667
92,170.667
93,173.667
94,173.667
95,170.667
96,172.333
97,169.333
98,170.333
99,169.333
100,167.333
101,171.333
102,171.333
103,164.333
104,167.333
105,169.333
106,169.333
107,167.333
108,167.333
109,169.333
110,169.333
111,167.333
112,166.333
113,167.333
114,166.333
115,164.333
116,168.333
117,172.333
118,171.333
119,166.333
120,163.333
121,166.333
122,167.333
123,167.333
124,169.333
125,172.333
126,170.333
127,165.333
128,168.333
129,170.333
130,170.333
131,168.333
132,167.333
133,168.333
134,168.333
135,167.333
136,171.333
137,171.333
138,170.333
139,170.333
140,170.333
141,171.333
142,171.333
143,172.333
144,169.333
145,169.333
146,170.333
147,173.333
148,173.333
149,171.333
150,168.333
151,167.333
152,171.333
153,170.333
154,169.333
155,169.333
156,169.333
157,168.333
158,167.333
159,166.333
160,168.333
161,169.333
162,169.333
163,169.333
164,170.333
165,170.333
166,168.333
167,166.333
168,165.333
169,166.333
170,167.333
171,168.333
172,169.333
173,169.333
174,169.333
175,169.333
176,170.333
177,167.333
178,168.333
179,169.333
180,167.333
181,168.333
182,169.333
183,165.333
184,167.333
185,162.333
186,166.000
187,167.333
188,159.333
189,154.667
190,150.000
191,138.667
192,132.000
193,127.000
194,125.000
195,126.333
196,126.333
197,122.333
198,118.667
199,120.333
200,115.333
