0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,5,7,8,8,2,0,0,0,4,6,8,17,12,7,5,5,0,4,3,13,8,12,15,5,7,6,1,2,10,6,13,21,14,13,16,8,8,4,11,12,24,48,44,16,18,8,7,8,7,12,22,58,59,28,11,11,9,4,9,10,12,19,23,10,12,17,4,2,6,12,9,11,11,8,12,11,3,0,6,6,10,8,13,8,6,3,0,0,0,2,12,11,6,4,2,0,0
0,0,0,1,2,1,0,0,0,0,0,0,0,2,4,4,5,4,0,0,0,0,7,19,15,15,14,2,2,0,0,3,12,7,25,40,31,9,5,1,1,4,31,32,47,36,36,15,6,1,0,2,23,35,57,71,37,21,3,2,0,6,12,24,43,36,32,17,1,2,0,2,5,12,28,21,21,6,1,0,1,1,5,8,2,2,6,4,1,0,0,0,1,4,2,0,2,1,1,0
0,0,0,0,0,1,1,0,0,0,0,0,1,3,3,6,1,2,0,0,0,1,5,8,19,13,7,8,2,0,1,5,7,18,34,36,26,19,10,4,0,3,22,38,46,55,39,26,12,2,3,5,23,32,40,42,40,27,8,5,1,4,9,23,36,42,37,16,10,0,2,3,9,14,14,15,19,4,2,1,0,0,1,5,4,6,5,5,1,0,0,0,1,1,0,0,0,0,0,1
0,0,1,0,2,0,1,2,0,0,1,0,0,2,4,10,7,4,0,1,0,0,9,9,18,24,19,13,1,0,1,1,6,19,23,46,41,25,8,4,0,2,5,22,42,42,46,29,15,7,2,2,20,19,38,50,43,19,10,4,1,4,13,12,33,38,37,10,7,1,0,1,5,13,15,25,16,12,4,0,0,0,1,1,6,6,6,3,2,2,0,0,1,0,2,2,1,1,0,0
1,0,0,0,2,1,0,0,0,0,0,0,1,1,4,2,5,0,0,1,0,0,9,5,12,14,13,6,1,0,0,4,6,20,35,30,23,15,5,0,0,2,11,23,36,63,45,34,9,3,2,3,12,32,58,49,34,20,10,0,2,7,14,24,42,39,35,16,6,3,0,1,6,8,28,30,18,8,3,1,0,1,5,3,6,6,9,4,2,1,0,0,1,1,2,5,1,0,0,0
0,0,1,1,2,5,0,0,0,0,0,0,3,5,8,11,6,4,0,0,0,0,4,16,13,24,7,7,3,0,0,0,11,26,41,41,37,13,3,1,1,1,7,34,48,63,34,20,4,0,0,2,9,29,53,61,39,14,2,3,0,1,14,22,46,43,25,10,1,0,0,2,2,10,22,29,14,8,2,1,0,1,1,3,3,3,2,6,1,0,0,0,0,1,3,5,1,0,1,0
0,0,1,2,3,3,2,1,0,0,0,2,2,2,10,13,4,7,4,1,1,1,4,22,31,26,16,11,3,1,0,2,10,21,35,45,38,27,7,4,1,1,10,34,48,45,50,24,10,1,0,5,9,25,43,64,38,18,5,2,0,1,8,12,28,35,22,13,3,1,0,4,1,8,15,9,14,4,2,2,0,1,0,1,7,4,2,1,2,1,0,0,0,1,0,0,3,0,0,0
0,0,0,1,1,3,0,0,0,0,0,2,2,2,4,3,3,3,0,0,1,1,7,13,15,23,9,7,0,0,0,5,17,35,37,28,22,11,1,0,1,5,26,44,60,54,24,13,2,0,3,10,18,36,71,46,24,8,2,1,1,9,12,28,49,45,19,6,1,0,1,3,5,26,20,14,7,3,1,1,1,0,3,7,11,6,2,3,0,1,0,0,0,3,2,3,3,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,4,0,2,0,0,0,0,6,6,18,7,7,6,1,0,0,2,16,26,36,29,17,9,3,0,2,1,11,44,57,51,39,15,1,1,4,4,16,46,61,70,32,9,3,1,0,5,15,32,48,47,25,12,3,0,0,5,7,19,29,22,12,5,0,1,1,0,0,5,13,9,2,2,0,0,0,0,0,2,2,5,2,0,0,0
