Distance_(pixels),Gray_Value
0,218.000
1,194.480
2,193.321
3,191.945
4,189.691
5,191.606
6,192.260
7,190.979
8,190.642
9,190.667
10,189.333
11,189.333
12,191.223
13,191.960
14,193.872
15,194.092
16,197.235
17,201.459
18,202.725
19,204.985
20,205.878
21,206.333
22,207.535
23,206.544
24,206.220
25,207.771
26,207.428
27,207.333
28,207.000
29,207.000
30,208.483
31,209.716
32,211.196
33,211.303
34,212.000
35,213.000
36,214.000
37,214.321
38,213.303
39,214.642
40,215.000
41,214.376
42,213.795
43,213.395
44,212.404
45,211.413
46,212.422
47,212.000
48,212.000
49,212.000
50,211.000
51,211.000
52,211.000
53,211.000
54,211.495
55,211.000
56,211.000
57,211.523
58,212.000
59,213.000
60,213.000
61,211.440
62,211.000
63,211.000
64,209.746
65,210.930
66,208.737
67,207.205
68,208.709
69,166.489
70,126.621
71,115.783
72,114.333
73,108.333
74,107.988
75,107.416
76,103.969
77,103.000
78,103.667
79,102.667
80,102.511
81,102.000
82,101.917
83,101.667
84,100.333
85,100.333
86,99.859
87,100.003
88,100.257
89,99.972
90,100.841
91,99.498
92,97.593
93,98.862
94,99.758
95,99.752
96,99.333
97,97.333
98,97.232
99,95.605
100,96.223
101,96.618
102,96.000
103,95.612
104,94.728
105,94.667
106,94.667
107,94.667
108,94.667
109,93.667
110,93.676
111,95.000
112,95.000
113,95.000
114,95.605
115,95.890
116,95.064
117,95.122
118,95.832
119,96.092
120,96.367
121,95.333
122,95.333
123,93.667
124,94.667
125,95.667
126,94.979
127,97.333
128,97.376
129,96.878
130,97.000
131,96.868
132,96.315
133,96.927
134,97.563
135,98.667
136,98.080
137,100.924
138,101.266
139,102.609
140,104.382
141,107.373
142,110.031
143,132.541
144,164.226
145,172.887
146,182.673
147,188.899
148,196.642
149,199.333
150,202.752
151,204.847
152,205.728
153,206.737
154,206.746
155,207.193
156,206.902
157,207.333
158,207.450
159,207.459
160,206.936
161,206.621
162,205.810
163,205.495
164,205.505
165,206.694
166,206.190
167,205.667
168,205.028
169,205.034
170,205.226
171,205.235
172,205.963
173,204.804
174,203.865
175,203.667
176,204.257
177,205.251
178,204.878
179,204.309
180,205.101
181,205.107
182,205.446
183,205.453
184,204.208
185,205.202
186,205.196
187,204.190
188,204.275
189,205.177
190,205.171
191,206.000
192,206.413
193,206.333
194,208.333
195,208.000
196,208.465
197,208.474
198,208.000
199,209.841
200,210.997
201,213.208
202,216.853
203,217.771
204,217.743
205,218.388
206,219.520
207,218.667
208,219.364
209,219.667
210,221.309
211,221.979
212,222.648
213,223.349
214,224.419
215,231.370
216,235.933
217,248.936
218,255.000
