X,Y
0,197.7000
1,197.9067
2,198.2733
3,198.2433
4,198.5933
5,198.3333
6,198.2333
7,198.2567
8,198.0633
9,197.9800
10,197.7900
11,197.7533
12,197.5367
13,197.0667
14,196.9667
15,197.2533
16,197.4867
17,197.9200
18,198.6533
19,198.4967
20,198.5467
21,198.6233
22,198.6933
23,198.7167
24,198.8200
25,198.7167
26,199.0467
27,199.0733
28,199.2500
29,199.4633
30,199.2933
31,199.4733
32,199.5967
33,199.9300
34,201.7567
35,203.8133
36,202.3033
37,202.9933
38,203.5833
39,203.5733
40,203.2933
41,202.3600
42,201.5633
43,200.9400
44,200.0700
45,199.1867
46,198.5900
47,197.5033
48,196.5600
49,195.8800
50,194.9367
51,194.4100
52,193.6633
53,192.9767
54,192.1667
55,191.3167
56,190.9867
57,190.4767
58,189.7800
59,189.3267
60,189.0167
61,188.5333
62,188.2567
63,187.7467
64,186.9700
65,186.7733
66,186.5867
67,186.2567
68,186.0700
69,185.8767
70,185.5167
71,185.2300
72,184.9767
73,184.8600
74,184.5533
75,184.2633
76,184.3000
77,184.5200
78,184.8033
79,184.9300
80,184.9767
81,185.0600
82,185.1700
83,185.4833
84,185.8300
85,185.8733
86,186.1733
87,186.6433
88,186.8633
89,187.0033
90,187.7033
91,188.2767
92,190.0867
93,190.5667
94,191.1767
95,192.1667
96,192.5900
97,193.3433
98,194.6133
99,194.6867
100,195.2867
101,195.6867
102,196.0700
103,197.6033
104,197.8267
105,198.2100
106,198.8700
107,199.7600
108,200.5200
109,201.0467
110,201.2467
111,201.0400
112,201.1567
113,201.1533
114,202.7000
115,201.5000
116,200.5800
117,200.2167
118,199.9233
119,199.7100
120,199.5433
121,199.0400
122,199.3933
123,199.3967
124,199.4033
125,199.6633
126,199.4500
127,199.3467
128,199.4000
129,199.5000
130,199.6900
131,199.0367
132,198.7800
133,199.0233
134,198.5200
135,198.2000
136,198.7200
137,198.3200
138,198.4600
139,198.4067
140,198.4300
141,198.3600
142,198.3233
143,198.4667
144,197.9600
145,197.9867
146,198.2867
147,198.1900
148,198.6133
149,198.2033
150,198.1067
