Distance_(pixels),Gray_Value
0,225.333
1,216.000
2,196.333
3,193.667
4,193.000
5,193.333
6,195.333
7,195.333
8,195.333
9,195.333
10,194.333
11,194.333
12,194.333
13,195.333
14,196.667
15,198.000
16,199.667
17,200.000
18,202.667
19,204.333
20,206.667
21,207.000
22,208.667
23,209.000
24,208.000
25,209.000
26,209.667
27,209.667
28,210.667
29,211.333
30,213.333
31,212.333
32,212.333
33,212.333
34,212.333
35,213.333
36,213.333
37,213.333
38,214.000
39,214.000
40,213.000
41,213.000
42,213.000
43,212.000
44,212.000
45,210.333
46,210.333
47,210.333
48,210.667
49,211.333
50,211.333
51,211.333
52,211.333
53,211.333
54,211.333
55,211.333
56,211.333
57,211.333
58,211.667
59,212.333
60,212.333
61,212.333
62,211.333
63,212.333
64,211.333
65,211.333
66,210.667
67,210.667
68,209.667
69,208.667
70,208.667
71,209.000
72,206.000
73,206.000
74,205.000
75,144.667
76,118.333
77,112.667
78,108.333
79,109.667
80,107.667
81,107.000
82,105.000
83,104.333
84,103.667
85,104.000
86,104.333
87,103.333
88,103.333
89,103.000
90,105.000
91,103.667
92,101.000
93,102.000
94,102.000
95,102.667
96,101.333
97,100.333
98,99.667
99,99.333
100,97.333
101,97.667
102,98.000
103,98.000
104,96.667
105,96.667
106,96.667
107,96.667
108,96.667
109,97.000
110,97.000
111,97.000
112,97.000
113,97.333
114,97.333
115,97.333
116,97.667
117,96.333
118,97.667
119,97.667
120,97.333
121,97.333
122,97.333
123,98.667
124,98.667
125,98.000
126,98.667
127,100.000
128,101.000
129,101.000
130,102.333
131,103.000
132,104.333
133,107.000
134,112.333
135,162.667
136,172.667
137,181.000
138,189.000
139,197.667
140,201.667
141,203.333
142,203.333
143,203.000
144,204.333
145,204.333
146,205.000
147,205.000
148,204.333
149,205.333
150,205.333
151,205.333
152,205.667
153,206.000
154,206.000
155,206.000
156,205.000
157,204.333
158,205.333
159,205.333
160,205.000
161,204.000
162,203.333
163,203.000
164,202.000
165,202.000
166,202.000
167,202.000
168,203.000
169,203.000
170,203.000
171,204.000
172,202.667
173,201.000
174,202.000
175,203.000
176,203.667
177,203.667
178,204.667
179,204.000
180,204.333
181,204.333
182,202.667
183,202.667
184,202.667
185,202.667
186,202.333
187,203.667
188,205.333
189,204.000
190,204.000
191,205.333
192,205.333
193,206.333
194,206.333
195,207.667
196,210.333
197,212.667
198,214.333
199,214.667
200,214.667
201,215.333
202,216.667
203,217.000
204,217.667
205,217.667
206,218.333
207,219.000
208,219.000
209,220.333
210,220.667
211,222.333
212,225.000
213,229.000
214,230.333
215,231.667
216,232.333
