Distance_(pixels),Gray_Value
0,255.000
1,213.333
2,208.667
3,193.333
4,182.667
5,182.000
6,181.000
7,179.667
8,179.000
9,181.000
10,181.333
11,181.333
12,181.333
13,181.333
14,181.333
15,181.333
16,181.333
17,182.667
18,183.333
19,186.000
20,188.333
21,192.333
22,195.000
23,197.000
24,197.000
25,197.000
26,197.000
27,196.000
28,196.000
29,196.000
30,196.000
31,196.333
32,196.333
33,197.000
34,197.333
35,198.333
36,200.000
37,201.000
38,202.333
39,203.000
40,202.333
41,202.333
42,202.333
43,202.667
44,203.000
45,203.000
46,202.667
47,201.000
48,200.000
49,200.000
50,199.000
51,199.667
52,200.000
53,200.000
54,200.000
55,199.000
56,198.000
57,198.000
58,198.000
59,198.000
60,198.000
61,198.000
62,198.000
63,197.333
64,196.333
65,196.333
66,196.333
67,195.667
68,197.000
69,170.667
70,122.000
71,116.000
72,110.667
73,107.333
74,105.000
75,103.667
76,101.667
77,101.000
78,99.667
79,99.667
80,99.333
81,98.667
82,98.667
83,97.333
84,97.333
85,97.333
86,96.667
87,97.000
88,97.333
89,95.667
90,95.667
91,95.667
92,96.667
93,96.333
94,96.333
95,96.333
96,96.333
97,95.333
98,94.667
99,95.333
100,95.667
101,93.667
102,94.667
103,94.333
104,94.333
105,94.667
106,93.000
107,93.333
108,93.333
109,91.667
110,92.000
111,92.000
112,92.000
113,92.000
114,92.000
115,92.000
116,92.000
117,92.000
118,91.000
119,92.000
120,91.667
121,91.000
122,91.000
123,91.000
124,91.000
125,91.000
126,90.667
127,91.333
128,92.333
129,92.000
130,92.000
131,92.333
132,91.667
133,91.333
134,92.667
135,94.000
136,92.667
137,93.333
138,92.667
139,93.333
140,95.000
141,95.333
142,95.333
143,95.667
144,99.000
145,100.667
146,102.667
147,107.000
148,144.667
149,159.333
150,165.333
151,172.667
152,181.667
153,188.667
154,192.333
155,191.667
156,193.000
157,194.000
158,194.667
159,195.333
160,195.333
161,195.333
162,196.333
163,196.333
164,196.333
165,195.333
166,195.333
167,195.333
168,195.000
169,195.000
170,194.000
171,194.000
172,194.000
173,194.000
174,194.000
175,193.000
176,193.000
177,193.000
178,194.333
179,194.333
180,194.333
181,194.333
182,194.333
183,194.333
184,194.333
185,195.333
186,195.333
187,196.333
188,195.000
189,195.000
190,195.000
191,195.000
192,195.000
193,195.000
194,195.000
195,194.000
196,193.667
197,194.333
198,194.667
199,195.000
200,197.000
201,197.000
202,199.000
203,199.000
204,201.000
205,204.000
206,207.000
207,206.000
208,207.000
209,207.000
210,207.000
211,209.333
212,210.667
213,211.667
214,213.667
215,215.333
216,216.667
217,218.667
218,224.333
219,230.333
220,237.667
221,236.000
