Distance_(pixels),Gray_Value
0,237.667
1,237.349
2,230.923
3,195.713
4,195.994
5,195.977
6,196.000
7,195.667
8,195.333
9,196.292
10,196.287
11,196.333
12,196.018
13,196.333
14,197.000
15,198.690
16,199.926
17,201.922
18,204.055
19,207.912
20,208.969
21,212.237
22,215.232
23,215.333
24,215.333
25,215.333
26,214.333
27,214.333
28,214.333
29,214.667
30,215.333
31,215.857
32,216.667
33,218.848
34,219.333
35,219.172
36,218.333
37,219.163
38,219.333
39,220.333
40,220.333
41,219.144
42,219.140
43,219.135
44,219.531
45,220.126
46,220.121
47,220.117
48,218.593
49,218.108
50,218.103
51,217.843
52,217.760
53,217.000
54,215.667
55,214.333
56,215.333
57,216.333
58,216.000
59,216.000
60,216.000
61,216.000
62,216.333
63,215.333
64,215.000
65,213.667
66,212.899
67,211.642
68,210.582
69,196.773
70,132.333
71,122.667
72,118.667
73,112.551
74,111.227
75,110.551
76,108.333
77,108.333
78,109.000
79,108.333
80,107.000
81,107.333
82,106.333
83,105.667
84,105.000
85,105.000
86,104.667
87,104.333
88,103.667
89,104.333
90,104.333
91,104.333
92,104.333
93,103.333
94,103.000
95,102.667
96,102.667
97,102.667
98,102.333
99,102.333
100,102.333
101,102.667
102,101.667
103,100.667
104,99.333
105,99.333
106,99.333
107,99.333
108,99.333
109,99.333
110,99.333
111,99.333
112,98.333
113,98.333
114,98.333
115,99.333
116,99.333
117,99.333
118,99.667
119,99.333
120,99.333
121,99.333
122,99.000
123,98.667
124,98.667
125,99.333
126,99.000
127,99.000
128,99.000
129,100.000
130,100.000
131,100.333
132,100.392
133,98.516
134,101.255
135,100.829
136,102.836
137,101.544
138,103.424
139,104.000
140,103.000
141,103.667
142,106.333
143,112.432
144,115.664
145,149.114
146,169.679
147,181.892
148,186.349
149,197.707
150,201.691
151,205.667
152,208.000
153,207.628
154,209.387
155,211.333
156,210.573
157,209.610
158,211.333
159,211.422
160,211.421
161,211.419
162,211.587
163,211.582
164,211.578
165,211.333
166,210.333
167,210.026
168,210.333
169,210.112
170,208.117
171,209.333
172,210.919
173,209.131
174,207.531
175,208.140
176,208.144
177,207.149
178,207.880
179,208.333
180,208.333
181,208.333
182,209.495
183,210.739
184,210.181
185,210.333
186,210.238
187,209.908
188,209.289
189,209.075
190,207.625
191,207.627
192,208.885
193,209.000
194,210.000
195,210.899
196,210.333
197,210.333
198,210.333
199,212.000
200,213.000
201,216.000
202,218.000
203,219.667
204,219.667
205,219.667
206,222.000
207,220.697
208,222.347
209,223.988
210,224.333
211,225.343
212,226.659
213,227.000
214,229.000
215,232.000
216,235.982
217,239.000
