Distance_(pixels),Gray_Value
0,212.000
1,197.060
2,191.000
3,189.000
4,189.333
5,190.008
6,191.028
7,191.044
8,191.050
9,191.057
10,190.698
11,190.701
12,190.704
13,192.000
14,194.333
15,194.404
16,196.667
17,198.080
18,201.000
19,201.483
20,204.302
21,204.634
22,207.000
23,206.000
24,205.962
25,204.961
26,205.000
27,205.709
28,205.000
29,205.712
30,207.714
31,208.000
32,208.000
33,209.000
34,209.000
35,209.667
36,210.000
37,209.000
38,209.000
39,209.000
40,208.000
41,208.000
42,208.000
43,208.000
44,208.000
45,208.000
46,208.000
47,207.333
48,207.333
49,208.333
50,208.667
51,209.000
52,208.000
53,208.000
54,209.000
55,209.000
56,209.000
57,209.000
58,209.000
59,209.000
60,208.333
61,208.000
62,208.000
63,208.000
64,208.000
65,208.000
66,208.000
67,207.000
68,207.000
69,207.000
70,204.667
71,202.000
72,200.786
73,117.355
74,112.884
75,110.472
76,108.881
77,106.726
78,106.157
79,105.085
80,104.000
81,101.843
82,101.925
83,101.797
84,100.333
85,100.267
86,101.613
87,100.898
88,100.358
89,100.033
90,100.041
91,99.000
92,99.000
93,99.000
94,97.371
95,96.896
96,96.818
97,96.876
98,96.000
99,96.000
100,96.000
101,96.000
102,96.000
103,96.000
104,96.000
105,96.000
106,96.000
107,95.670
108,95.019
109,95.676
110,95.667
111,94.175
112,94.176
113,94.178
114,94.846
115,95.333
116,94.000
117,94.000
118,94.333
119,95.000
120,96.000
121,97.333
122,95.667
123,97.000
124,97.000
125,97.333
126,98.000
127,98.200
128,98.000
129,99.333
130,100.333
131,102.667
132,105.667
133,109.667
134,108.211
135,148.758
136,165.975
137,176.882
138,183.450
139,192.770
140,199.113
141,200.333
142,202.333
143,203.333
144,201.667
145,201.000
146,202.000
147,202.000
148,202.000
149,202.297
150,203.000
151,203.000
152,203.000
153,202.667
154,202.667
155,202.667
156,202.667
157,202.667
158,203.667
159,203.333
160,202.333
161,201.173
162,200.509
163,200.513
164,200.516
165,200.519
166,201.000
167,201.525
168,201.000
169,201.000
170,201.000
171,201.000
172,201.000
173,201.000
174,201.333
175,202.000
176,200.667
177,200.667
178,200.214
179,200.822
180,201.717
181,202.146
182,200.000
183,200.000
184,200.000
185,199.794
186,200.667
187,201.333
188,202.333
189,202.703
190,203.667
191,202.766
192,203.000
193,203.333
194,204.000
195,206.000
196,207.717
197,210.667
198,213.044
199,213.626
200,213.686
201,214.983
202,214.953
203,214.000
204,215.962
205,216.000
206,216.972
207,217.000
208,217.019
209,220.000
210,223.000
211,224.005
212,237.000
