Distance_(pixels),Gray_Value
0,255.000
1,198.972
2,208.009
3,206.375
4,204.315
5,203.356
6,199.000
7,199.000
8,199.667
9,201.361
10,203.031
11,205.000
12,206.000
13,207.373
14,208.688
15,210.046
16,211.716
17,212.412
18,213.667
19,214.421
20,214.425
21,215.333
22,216.333
23,216.439
24,217.223
25,217.333
26,217.333
27,217.333
28,217.333
29,217.333
30,217.333
31,216.667
32,216.667
33,217.000
34,218.052
35,218.161
36,218.000
37,218.000
38,218.000
39,217.180
40,218.123
41,218.189
42,219.194
43,220.066
44,219.797
45,219.931
46,219.929
47,219.333
48,219.333
49,219.333
50,219.872
51,218.765
52,219.014
53,219.512
54,219.000
55,219.582
56,219.742
57,219.737
58,219.733
59,219.819
60,219.908
61,220.719
62,221.286
63,221.000
64,221.000
65,220.667
66,219.696
67,219.000
68,220.000
69,220.000
70,220.333
71,220.333
72,220.333
73,220.333
74,219.667
75,218.988
76,218.633
77,219.978
78,221.187
79,221.667
80,221.667
81,221.667
82,220.837
83,220.333
84,220.183
85,219.392
86,216.799
87,215.599
88,212.631
89,204.607
90,101.163
91,101.387
92,100.667
93,98.333
94,97.333
95,96.438
96,94.442
97,93.667
98,92.333
99,92.000
100,91.333
101,90.667
102,90.823
103,90.475
104,90.306
105,89.968
106,89.155
107,89.160
108,89.000
109,89.333
110,88.840
111,89.333
112,89.667
113,90.694
114,91.034
115,92.667
116,93.333
117,94.539
118,94.602
119,96.290
120,141.992
121,170.154
122,181.853
123,189.900
124,199.143
125,207.819
126,211.247
127,214.748
128,217.000
129,219.667
130,220.000
131,220.333
132,220.333
133,221.151
134,220.951
135,220.333
136,219.084
137,220.333
138,221.667
139,221.667
140,221.667
141,222.017
142,222.012
143,222.326
144,222.330
145,222.112
146,221.230
147,221.237
148,221.667
149,221.562
150,221.255
151,221.565
152,221.667
153,221.667
154,221.570
155,221.286
156,221.292
157,221.298
158,221.667
159,221.667
160,221.667
161,221.667
162,221.667
163,221.584
164,221.845
165,220.934
166,221.098
167,221.103
168,220.333
169,220.333
170,221.406
171,221.667
172,221.805
173,223.667
174,223.667
175,222.667
176,222.667
177,222.667
178,222.667
179,222.667
180,222.667
181,222.333
182,222.000
183,221.406
184,221.464
185,221.765
186,223.000
187,223.667
188,223.667
189,223.667
190,222.667
191,222.333
192,221.667
193,222.000
194,222.333
195,223.435
196,225.366
197,227.000
198,227.000
199,230.000
200,231.000
201,232.000
202,231.931
203,231.333
204,231.333
205,230.333
206,230.333
207,230.333
208,230.667
209,231.000
210,231.032
211,231.028
212,232.023
213,240.834
214,235.972
215,235.009
216,237.982
217,240.000
