Distance_(pixels),Gray_Value
0,227.333
1,219.000
2,203.667
3,190.000
4,189.333
5,189.333
6,191.000
7,190.000
8,191.333
9,191.333
10,191.333
11,191.333
12,191.333
13,191.333
14,191.333
15,193.333
16,195.333
17,199.667
18,202.333
19,205.000
20,207.333
21,208.667
22,208.667
23,209.667
24,208.667
25,208.000
26,208.000
27,208.667
28,208.333
29,208.333
30,209.000
31,209.667
32,212.000
33,212.000
34,213.000
35,213.000
36,213.667
37,213.667
38,213.667
39,213.000
40,213.000
41,213.667
42,213.000
43,212.667
44,212.333
45,211.333
46,211.333
47,210.333
48,210.333
49,211.333
50,211.333
51,210.333
52,210.333
53,210.333
54,210.333
55,210.333
56,209.667
57,209.000
58,209.667
59,209.333
60,208.000
61,207.000
62,205.333
63,206.333
64,206.667
65,170.000
66,127.000
67,120.667
68,114.000
69,111.000
70,106.333
71,105.667
72,106.667
73,105.000
74,104.333
75,103.000
76,102.333
77,101.333
78,101.333
79,101.667
80,101.333
81,100.333
82,101.667
83,100.333
84,100.000
85,99.000
86,99.333
87,99.000
88,99.000
89,99.000
90,99.000
91,98.667
92,98.667
93,98.667
94,98.667
95,98.333
96,98.333
97,98.333
98,97.000
99,97.000
100,97.000
101,95.333
102,95.333
103,95.333
104,95.333
105,95.333
106,95.333
107,95.333
108,95.333
109,95.333
110,95.333
111,95.333
112,95.333
113,95.333
114,95.333
115,96.333
116,95.333
117,95.667
118,96.333
119,95.667
120,95.333
121,94.000
122,96.000
123,96.333
124,96.667
125,96.333
126,95.667
127,95.667
128,96.333
129,96.667
130,97.667
131,96.667
132,98.333
133,97.667
134,99.000
135,99.000
136,100.000
137,100.000
138,101.667
139,104.000
140,105.667
141,112.000
142,117.333
143,156.667
144,167.000
145,175.000
146,180.667
147,191.333
148,196.667
149,200.000
150,200.000
151,200.000
152,202.000
153,202.000
154,202.000
155,203.000
156,203.000
157,203.000
158,202.667
159,202.000
160,201.000
161,201.000
162,200.000
163,200.000
164,200.000
165,200.333
166,200.333
167,200.000
168,200.000
169,200.000
170,200.000
171,199.000
172,199.000
173,199.667
174,200.000
175,201.000
176,201.333
177,202.000
178,203.000
179,202.000
180,200.333
181,201.000
182,201.000
183,201.333
184,200.667
185,201.000
186,202.333
187,202.667
188,203.667
189,203.667
190,203.667
191,204.667
192,203.667
193,204.333
194,205.333
195,207.333
196,208.667
197,210.000
198,213.000
199,212.000
200,214.000
201,214.000
202,214.000
203,215.000
204,217.000
205,218.000
206,218.000
207,220.000
208,221.000
209,227.000
210,230.000
211,236.000
212,242.000
