Distance_(pixels),Gray_Value
0,219.000
1,220.273
2,212.091
3,186.648
4,185.618
5,184.924
6,186.261
7,187.333
8,187.000
9,187.027
10,185.091
11,185.000
12,186.224
13,186.333
14,186.752
15,187.333
16,188.382
17,190.718
18,192.497
19,194.230
20,196.879
21,198.064
22,200.133
23,200.000
24,200.000
25,199.924
26,199.842
27,199.497
28,200.255
29,201.000
30,202.242
31,202.761
32,203.903
33,204.567
34,204.667
35,205.136
36,205.448
37,205.667
38,205.667
39,205.785
40,205.667
41,205.667
42,205.285
43,205.333
44,205.067
45,204.197
46,204.055
47,204.048
48,204.042
49,204.036
50,203.636
51,203.952
52,203.964
53,204.136
54,204.321
55,204.667
56,204.667
57,205.185
58,205.194
59,204.845
60,205.667
61,205.667
62,205.855
63,205.382
64,204.667
65,205.394
66,204.667
67,204.000
68,202.000
69,200.627
70,199.333
71,199.452
72,132.715
73,117.764
74,111.558
75,106.439
76,104.127
77,102.200
78,102.806
79,100.958
80,99.424
81,99.000
82,99.248
83,98.497
84,96.824
85,96.333
86,95.812
87,96.458
88,96.400
89,96.412
90,96.212
91,95.942
92,95.945
93,95.385
94,95.000
95,95.667
96,95.667
97,94.000
98,93.964
99,92.900
100,91.970
101,92.027
102,92.333
103,92.000
104,91.982
105,91.030
106,91.024
107,91.009
108,90.673
109,90.670
110,90.000
111,90.997
112,91.000
113,91.000
114,90.333
115,90.333
116,90.333
117,90.645
118,90.952
119,90.945
120,90.970
121,92.367
122,92.370
123,91.667
124,92.291
125,92.333
126,92.333
127,92.282
128,92.000
129,93.115
130,93.939
131,94.064
132,95.333
133,97.000
134,98.145
135,98.742
136,98.000
137,102.000
138,104.333
139,106.000
140,145.545
141,163.333
142,170.612
143,178.900
144,185.333
145,193.985
146,198.327
147,199.894
148,199.782
149,200.139
150,200.909
151,200.458
152,200.461
153,201.073
154,201.267
155,200.470
156,199.861
157,199.858
158,200.667
159,200.667
160,200.667
161,201.000
162,200.491
163,199.345
164,199.667
165,199.667
166,198.164
167,198.161
168,199.158
169,199.155
170,199.000
171,199.148
172,198.145
173,198.142
174,197.612
175,199.000
176,199.000
177,198.261
178,199.000
179,199.000
180,199.758
181,200.430
182,200.436
183,199.555
184,199.442
185,199.000
186,199.000
187,199.000
188,199.000
189,199.000
190,200.000
191,200.000
192,199.170
193,201.000
194,200.158
195,201.848
196,202.709
197,204.124
198,207.400
199,209.142
200,209.788
201,211.494
202,212.055
203,212.052
204,212.333
205,213.667
206,213.667
207,213.667
208,214.703
209,215.767
210,216.667
211,217.667
212,217.861
213,223.085
214,222.721
215,243.076
216,230.588
217,225.776
218,254.594
219,246.558
220,242.667
