Distance_(pixels),Gray_Value
0,223.333
1,253.341
2,212.667
3,236.002
4,204.704
5,191.333
6,189.639
7,188.032
8,189.358
9,189.763
10,192.395
11,193.650
12,193.055
13,193.333
14,193.398
15,193.379
16,193.790
17,195.745
18,197.111
19,199.754
20,202.154
21,205.161
22,207.667
23,209.106
24,209.111
25,209.475
26,208.667
27,208.250
28,208.419
29,208.000
30,207.862
31,207.238
32,206.530
33,207.152
34,207.876
35,208.323
36,209.221
37,210.504
38,211.333
39,212.667
40,212.667
41,212.667
42,212.796
43,212.865
44,211.604
45,211.610
46,211.616
47,211.622
48,211.628
49,210.559
50,210.051
51,210.078
52,210.587
53,209.667
54,209.333
55,209.333
56,209.333
57,208.596
58,208.422
59,209.667
60,209.000
61,209.667
62,208.810
63,207.000
64,204.568
65,203.399
66,202.536
67,133.564
68,125.293
69,115.757
70,110.979
71,107.333
72,103.556
73,102.667
74,101.106
75,100.654
76,100.450
77,101.333
78,99.667
79,99.667
80,99.333
81,99.333
82,99.333
83,100.333
84,98.667
85,97.333
86,97.667
87,98.000
88,97.000
89,98.077
90,97.447
91,98.000
92,98.000
93,98.333
94,98.333
95,98.333
96,99.333
97,98.333
98,98.333
99,96.848
100,97.000
101,96.132
102,96.667
103,94.966
104,94.972
105,94.978
106,94.333
107,94.333
108,94.836
109,94.831
110,94.333
111,94.822
112,94.849
113,94.333
114,94.333
115,94.333
116,94.333
117,94.333
118,94.333
119,94.333
120,94.333
121,94.038
122,93.750
123,93.000
124,92.524
125,93.667
126,94.333
127,93.333
128,95.667
129,95.198
130,94.333
131,94.667
132,94.000
133,95.667
134,94.667
135,94.000
136,95.333
137,95.281
138,96.607
139,96.667
140,97.000
141,98.034
142,100.127
143,106.333
144,111.779
145,113.777
146,147.012
147,166.882
148,175.667
149,183.667
150,193.436
151,200.275
152,203.000
153,204.962
154,205.570
155,205.619
156,206.333
157,206.390
158,207.333
159,206.601
160,206.596
161,206.591
162,205.333
163,205.333
164,205.333
165,205.333
166,205.333
167,204.333
168,204.559
169,205.333
170,204.333
171,204.333
172,204.333
173,204.333
174,204.000
175,204.000
176,204.000
177,205.333
178,205.000
179,205.392
180,205.724
181,206.166
182,206.161
183,205.719
184,204.667
185,204.333
186,205.333
187,203.333
188,204.333
189,204.462
190,205.333
191,205.373
192,206.333
193,206.333
194,206.333
195,206.333
196,207.667
197,209.333
198,211.000
199,212.667
200,213.974
201,215.382
202,215.333
203,215.398
204,215.393
205,216.333
206,216.384
207,219.287
208,219.361
209,220.654
210,222.301
211,225.416
212,231.674
213,238.716
214,246.945
215,250.923
216,254.281
217,243.000
