Distance_(pixels),Gray_Value
0,255.000
1,189.336
2,217.568
3,209.995
4,192.246
5,190.573
6,190.887
7,190.535
8,191.717
9,195.582
10,196.541
11,196.529
12,195.629
13,195.667
14,196.535
15,196.573
16,195.817
17,197.387
18,199.892
19,201.119
20,204.459
21,206.333
22,208.931
23,210.333
24,210.258
25,211.020
26,211.089
27,211.164
28,210.158
29,208.576
30,209.249
31,209.224
32,208.567
33,208.667
34,208.653
35,210.000
36,210.333
37,212.333
38,213.333
39,212.333
40,212.333
41,213.205
42,212.939
43,213.333
44,213.333
45,212.911
46,212.901
47,212.892
48,211.883
49,212.333
50,212.333
51,212.174
52,211.326
53,209.332
54,208.845
55,209.366
56,210.491
57,209.000
58,207.000
59,207.667
60,207.333
61,207.142
62,201.279
63,138.864
64,128.864
65,115.463
66,113.873
67,110.704
68,106.787
69,103.451
70,102.676
71,100.556
72,100.000
73,99.790
74,99.768
75,99.000
76,98.333
77,98.333
78,98.667
79,98.667
80,97.667
81,97.667
82,97.667
83,98.333
84,98.333
85,98.000
86,97.000
87,96.667
88,97.000
89,97.333
90,97.333
91,98.000
92,98.667
93,97.000
94,97.000
95,97.000
96,97.601
97,98.518
98,97.000
99,97.000
100,97.000
101,97.333
102,98.014
103,97.044
104,96.984
105,95.667
106,95.671
107,95.667
108,95.667
109,95.667
110,95.667
111,95.667
112,95.667
113,94.667
114,94.357
115,94.360
116,94.059
117,94.099
118,94.000
119,94.000
120,92.333
121,92.333
122,92.382
123,93.770
124,93.667
125,92.840
126,92.911
127,94.000
128,94.000
129,94.000
130,94.000
131,94.000
132,93.333
133,94.333
134,94.000
135,95.667
136,95.000
137,96.667
138,96.333
139,98.333
140,99.247
141,98.775
142,100.778
143,101.324
144,103.883
145,107.305
146,116.667
147,137.808
148,169.294
149,174.800
150,182.953
151,191.915
152,200.524
153,203.812
154,205.333
155,205.333
156,206.000
157,206.158
158,206.161
159,205.333
160,205.167
161,204.333
162,204.812
163,204.803
164,203.333
165,203.333
166,203.333
167,205.189
168,205.192
169,205.196
170,204.930
171,204.070
172,203.333
173,203.333
174,203.333
175,203.977
176,204.102
177,204.667
178,205.333
179,206.333
180,206.333
181,206.734
182,205.915
183,205.615
184,206.243
185,206.333
186,206.333
187,205.577
188,206.333
189,207.108
190,206.333
191,206.540
192,208.000
193,209.146
194,209.333
195,210.164
196,211.333
197,213.333
198,214.192
199,214.623
200,216.878
201,216.000
202,216.333
203,217.333
204,218.000
205,219.075
206,220.623
207,222.075
208,225.380
209,227.063
210,232.714
211,241.315
212,246.987
213,245.333
