X,Y
0,215
1,215
2,214
3,214
4,214
5,215
6,216
7,215
8,215
9,212
10,212
11,212
12,212
13,211
14,211
15,211
16,211
17,211
18,211
19,211
20,211
21,211
22,211
23,211
24,211
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,211
34,212
35,211
36,211
37,209
38,209
39,209
40,209
41,211
42,211
43,211
44,210
45,211
46,210
47,211
48,209
49,222
50,227
51,234
52,193
53,190
54,187
55,205
56,201
57,211
58,207
59,209
60,205
61,198
62,197
63,193
64,192
65,192
66,191
67,189
68,188
69,187
70,185
71,185
72,184
73,177
74,178
75,177
76,176
77,172
78,173
79,171
80,171
81,171
82,171
83,169
84,169
85,168
86,168
87,166
88,166
89,165
90,165
91,165
92,165
93,162
94,162
95,158
96,158
97,160
98,160
99,160
100,160
101,158
102,158
103,158
104,158
105,158
106,158
107,158
108,158
109,158
110,158
111,158
112,158
113,156
114,156
115,156
116,156
117,154
118,154
119,154
120,154
121,153
122,153
123,153
124,153
125,153
126,153
127,153
128,153
129,151
130,151
131,151
132,151
133,151
134,151
135,151
136,151
137,151
138,151
139,151
140,151
141,151
142,151
143,151
144,151
145,150
146,150
147,150
148,150
149,150
150,150
151,150
152,150
153,150
154,150
155,150
156,150
157,150
158,150
159,150
160,150
161,149
162,149
163,149
164,149
165,149
166,149
167,149
168,149
169,149
170,149
171,149
172,149
173,149
174,149
175,151
176,151
177,152
178,152
179,152
180,152
181,154
182,154
183,154
184,154
185,152
186,152
187,152
188,152
189,152
190,152
191,152
192,152
193,154
194,154
195,154
196,154
197,154
198,154
199,154
200,154
201,154
202,154
203,156
204,156
205,158
206,158
207,158
208,158
209,159
210,160
211,161
212,162
213,163
214,163
215,162
216,162
217,168
218,168
219,168
220,168
221,170
222,170
223,171
224,171
225,168
226,168
227,170
228,171
229,174
230,174
231,177
232,177
233,179
234,180
235,183
236,183
237,184
238,188
239,191
240,192
241,194
242,196
243,196
244,199
245,195
246,194
247,188
248,212
249,216
250,221
251,211
252,217
253,212
254,216
255,208
256,213
257,206
258,213
259,212
260,214
261,210
262,211
263,209
264,209
265,205
266,205
267,206
268,206
269,207
270,207
271,207
272,207
273,208
274,208
275,208
276,208
277,207
278,207
279,207
280,207
281,206
282,206
283,206
284,206
285,206
286,206
287,206
288,206
289,206
290,206
291,205
292,205
293,205
294,204
295,205
296,205
297,206
298,206
299,206
300,206
