X,Y
0,202
1,201
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,201
12,202
13,202
14,202
15,202
16,202
17,201
18,201
19,201
20,201
21,201
22,202
23,202
24,202
25,202
26,202
27,202
28,202
29,202
30,201
31,201
32,201
33,201
34,200
35,201
36,202
37,203
38,202
39,202
40,202
41,202
42,201
43,202
44,203
45,203
46,203
47,203
48,203
49,203
50,202
51,201
52,202
53,202
54,202
55,202
56,202
57,202
58,202
59,202
60,201
61,201
62,201
63,200
64,200
65,198
66,198
67,200
68,202
69,202
70,204
71,202
72,206
73,208
74,230
75,192
76,175
77,163
78,182
79,176
80,186
81,185
82,183
83,181
84,176
85,176
86,169
87,169
88,166
89,165
90,160
91,160
92,158
93,158
94,153
95,153
96,153
97,155
98,147
99,147
100,145
101,145
102,144
103,144
104,142
105,142
106,142
107,142
108,142
109,142
110,138
111,138
112,136
113,136
114,138
115,138
116,138
117,138
118,138
119,138
120,138
121,138
122,135
123,135
124,134
125,134
126,134
127,133
128,132
129,131
130,131
131,131
132,131
133,131
134,131
135,131
136,131
137,131
138,131
139,131
140,131
141,131
142,130
143,130
144,130
145,130
146,128
147,128
148,128
149,128
150,128
151,128
152,128
153,128
154,128
155,128
156,128
157,128
158,128
159,128
160,130
161,130
162,130
163,130
164,130
165,130
166,130
167,130
168,130
169,130
170,130
171,130
172,130
173,130
174,130
175,130
176,130
177,130
178,131
179,131
180,131
181,131
182,131
183,131
184,131
185,131
186,134
187,134
188,134
189,134
190,134
191,134
192,134
193,134
194,136
195,136
196,136
197,136
198,138
199,139
200,141
201,143
202,143
203,144
204,144
205,144
206,146
207,146
208,150
209,150
210,152
211,152
212,154
213,154
214,157
215,157
216,160
217,160
218,167
219,168
220,171
221,171
222,174
223,174
224,176
225,178
226,165
227,178
228,190
229,207
230,198
231,203
232,199
233,204
234,198
235,201
236,197
237,201
238,196
239,200
240,199
241,199
242,196
243,198
244,197
245,197
246,198
247,199
248,199
249,199
250,197
251,197
252,197
253,197
254,197
255,197
256,197
257,197
258,198
259,198
260,198
261,198
262,197
263,197
264,197
265,198
266,198
267,198
268,198
269,198
270,198
271,198
272,198
273,198
274,197
275,197
276,197
277,197
278,196
279,196
280,196
281,196
282,196
283,196
284,196
285,196
286,196
287,196
288,196
289,196
290,197
291,196
292,196
293,196
294,196
295,195
296,195
297,195
298,196
299,196
300,196
