X,Y
0,204
1,204
2,204
3,203
4,203
5,203
6,203
7,203
8,203
9,203
10,203
11,204
12,204
13,203
14,203
15,203
16,203
17,203
18,203
19,203
20,203
21,203
22,203
23,203
24,203
25,203
26,203
27,203
28,203
29,203
30,203
31,203
32,203
33,203
34,203
35,203
36,203
37,204
38,204
39,204
40,204
41,204
42,204
43,203
44,203
45,203
46,203
47,204
48,204
49,204
50,203
51,203
52,203
53,203
54,203
55,203
56,203
57,203
58,203
59,203
60,203
61,203
62,203
63,203
64,203
65,202
66,202
67,203
68,203
69,203
70,203
71,203
72,202
73,205
74,205
75,205
76,203
77,213
78,215
79,228
80,187
81,171
82,163
83,185
84,181
85,186
86,186
87,182
88,181
89,176
90,175
91,172
92,171
93,165
94,165
95,160
96,159
97,156
98,157
99,154
100,154
101,154
102,154
103,150
104,150
105,148
106,148
107,146
108,146
109,146
110,145
111,143
112,144
113,142
114,141
115,141
116,141
117,141
118,141
119,139
120,139
121,139
122,139
123,137
124,137
125,137
126,137
127,137
128,137
129,137
130,137
131,137
132,137
133,135
134,135
135,135
136,135
137,134
138,134
139,132
140,132
141,132
142,132
143,132
144,132
145,132
146,132
147,131
148,131
149,131
150,131
151,131
152,131
153,131
154,131
155,131
156,131
157,131
158,131
159,131
160,131
161,131
162,131
163,131
164,131
165,131
166,131
167,131
168,131
169,131
170,131
171,131
172,131
173,131
174,131
175,131
176,131
177,131
178,131
179,134
180,134
181,134
182,134
183,134
184,134
185,134
186,134
187,134
188,134
189,134
190,134
191,136
192,136
193,138
194,138
195,137
196,137
197,138
198,138
199,138
200,137
201,140
202,141
203,141
204,142
205,145
206,145
207,147
208,147
209,151
210,151
211,153
212,153
213,157
214,157
215,159
216,159
217,164
218,165
219,171
220,171
221,173
222,174
223,180
224,181
225,181
226,182
227,178
228,188
229,199
230,214
231,203
232,207
233,203
234,209
235,204
236,207
237,201
238,205
239,200
240,205
241,200
242,202
243,200
244,200
245,199
246,199
247,198
248,198
249,199
250,200
251,200
252,200
253,200
254,200
255,200
256,199
257,199
258,199
259,199
260,199
261,199
262,199
263,198
264,199
265,200
266,200
267,199
268,199
269,200
270,202
271,202
272,202
273,200
274,199
275,198
276,197
277,197
278,197
279,197
280,197
281,197
282,196
283,196
284,196
285,196
286,196
287,196
288,196
289,196
290,196
291,197
292,197
293,197
294,197
295,197
296,197
297,197
298,197
299,197
300,197
