X,Y
0,214
1,214
2,214
3,212
4,212
5,214
6,214
7,215
8,215
9,216
10,216
11,215
12,215
13,215
14,215
15,215
16,215
17,215
18,215
19,217
20,217
21,217
22,217
23,217
24,217
25,217
26,217
27,216
28,217
29,217
30,217
31,217
32,217
33,217
34,217
35,217
36,217
37,217
38,217
39,217
40,217
41,217
42,217
43,217
44,217
45,217
46,217
47,218
48,218
49,218
50,218
51,215
52,215
53,215
54,215
55,215
56,215
57,215
58,215
59,214
60,214
61,214
62,212
63,212
64,212
65,212
66,212
67,212
68,212
69,212
70,212
71,212
72,212
73,212
74,212
75,212
76,212
77,212
78,212
79,212
80,212
81,212
82,212
83,214
84,214
85,216
86,216
87,216
88,216
89,216
90,216
91,214
92,213
93,213
94,212
95,212
96,212
97,210
98,209
99,209
100,209
101,214
102,211
103,221
104,227
105,207
106,139
107,139
108,142
109,155
110,154
111,155
112,155
113,149
114,148
115,142
116,140
117,136
118,135
119,133
120,133
121,132
122,132
123,128
124,128
125,126
126,126
127,126
128,126
129,125
130,124
131,122
132,123
133,121
134,121
135,121
136,121
137,121
138,121
139,118
140,117
141,114
142,115
143,114
144,114
145,115
146,115
147,116
148,115
149,115
150,115
151,115
152,115
153,115
154,115
155,117
156,117
157,117
158,116
159,118
160,118
161,117
162,115
163,115
164,114
165,116
166,116
167,116
168,116
169,117
170,117
171,119
172,121
173,122
174,122
175,122
176,122
177,122
178,122
179,124
180,124
181,126
182,126
183,128
184,128
185,129
186,129
187,133
188,133
189,138
190,138
191,141
192,141
193,143
194,145
195,143
196,147
197,164
198,189
199,186
200,189
201,185
202,192
203,192
204,198
205,197
206,200
207,200
208,207
209,207
210,209
211,209
212,209
213,209
214,211
215,209
216,209
217,209
218,209
219,209
220,209
221,209
222,209
223,209
224,209
225,209
226,209
227,209
228,209
229,209
230,209
231,209
232,209
233,209
234,209
235,209
236,210
237,210
238,210
239,210
240,211
241,211
242,211
243,211
244,210
245,210
246,210
247,210
248,209
249,209
250,209
251,209
252,209
253,209
254,209
255,209
256,209
257,209
258,210
259,210
260,207
261,207
262,207
263,207
264,207
265,207
266,207
267,207
268,207
269,207
270,207
271,207
272,207
273,207
274,207
275,206
276,206
277,206
278,206
279,206
280,206
281,206
282,206
283,206
284,206
285,206
286,206
287,206
288,206
289,206
290,206
291,206
292,206
293,205
294,205
295,205
296,205
297,204
298,204
299,205
300,205
