X,Y
0,208
1,208
2,208
3,208
4,208
5,208
6,208
7,208
8,208
9,208
10,208
11,207
12,207
13,207
14,207
15,207
16,207
17,207
18,207
19,207
20,207
21,207
22,207
23,208
24,208
25,208
26,208
27,209
28,209
29,209
30,209
31,208
32,208
33,208
34,208
35,208
36,208
37,208
38,208
39,207
40,207
41,208
42,208
43,209
44,209
45,209
46,209
47,209
48,209
49,208
50,208
51,208
52,208
53,207
54,207
55,207
56,207
57,207
58,207
59,205
60,205
61,205
62,205
63,205
64,205
65,207
66,207
67,207
68,207
69,206
70,206
71,205
72,205
73,207
74,206
75,205
76,202
77,206
78,205
79,222
80,230
81,210
82,161
83,174
84,174
85,185
86,182
87,186
88,184
89,178
90,177
91,172
92,172
93,165
94,163
95,158
96,158
97,154
98,154
99,152
100,151
101,148
102,148
103,145
104,145
105,143
106,143
107,141
108,141
109,140
110,140
111,138
112,138
113,138
114,138
115,139
116,139
117,139
118,139
119,137
120,137
121,137
122,137
123,137
124,137
125,137
126,137
127,137
128,137
129,135
130,135
131,135
132,135
133,133
134,133
135,131
136,130
137,130
138,130
139,130
140,130
141,130
142,130
143,128
144,128
145,128
146,128
147,128
148,128
149,128
150,128
151,130
152,130
153,130
154,130
155,130
156,130
157,130
158,130
159,130
160,130
161,130
162,130
163,130
164,130
165,130
166,130
167,132
168,132
169,132
170,132
171,132
172,132
173,132
174,132
175,132
176,132
177,134
178,134
179,134
180,134
181,134
182,135
183,136
184,136
185,138
186,138
187,138
188,138
189,138
190,138
191,138
192,138
193,140
194,140
195,142
196,142
197,144
198,144
199,145
200,147
201,147
202,147
203,149
204,149
205,151
206,153
207,157
208,157
209,158
210,159
211,165
212,165
213,169
214,169
215,171
216,174
217,174
218,177
219,165
220,180
221,201
222,215
223,199
224,204
225,196
226,203
227,199
228,201
229,199
230,204
231,204
232,206
233,202
234,202
235,199
236,199
237,198
238,199
239,200
240,200
241,202
242,202
243,202
244,202
245,202
246,202
247,202
248,203
249,203
250,203
251,203
252,203
253,203
254,203
255,205
256,205
257,203
258,203
259,203
260,203
261,203
262,203
263,203
264,203
265,203
266,203
267,203
268,203
269,203
270,203
271,202
272,202
273,202
274,202
275,202
276,202
277,202
278,202
279,203
280,203
281,202
282,202
283,202
284,202
285,202
286,202
287,202
288,200
289,200
290,200
291,200
292,199
293,199
294,199
295,199
296,198
297,198
298,198
299,199
300,199
