X,Y
0,211
1,208
2,208
3,208
4,208
5,208
6,208
7,208
8,208
9,210
10,210
11,210
12,210
13,210
14,210
15,210
16,210
17,210
18,210
19,210
20,210
21,210
22,210
23,210
24,210
25,210
26,210
27,210
28,210
29,210
30,210
31,210
32,210
33,210
34,210
35,208
36,208
37,208
38,208
39,208
40,208
41,208
42,207
43,207
44,207
45,207
46,208
47,208
48,208
49,208
50,209
51,209
52,209
53,209
54,208
55,208
56,208
57,208
58,207
59,207
60,207
61,207
62,205
63,205
64,205
65,207
66,207
67,206
68,207
69,207
70,206
71,206
72,206
73,206
74,206
75,207
76,206
77,205
78,205
79,204
80,204
81,204
82,203
83,203
84,204
85,205
86,205
87,206
88,205
89,205
90,205
91,207
92,206
93,208
94,203
95,214
96,218
97,216
98,151
99,154
100,161
101,166
102,165
103,165
104,165
105,156
106,155
107,149
108,149
109,145
110,145
111,141
112,141
113,140
114,140
115,138
116,137
117,135
118,135
119,133
120,133
121,133
122,133
123,130
124,130
125,130
126,131
127,130
128,130
129,129
130,129
131,127
132,127
133,127
134,127
135,127
136,127
137,124
138,122
139,122
140,122
141,121
142,121
143,121
144,121
145,120
146,120
147,120
148,120
149,120
150,120
151,120
152,120
153,120
154,120
155,120
156,120
157,120
158,120
159,120
160,120
161,122
162,122
163,122
164,122
165,122
166,122
167,122
168,122
169,122
170,122
171,122
172,122
173,122
174,122
175,122
176,122
177,124
178,125
179,125
180,125
181,125
182,125
183,127
184,127
185,126
186,127
187,129
188,129
189,129
190,129
191,131
192,130
193,137
194,138
195,140
196,142
197,142
198,144
199,149
200,150
201,152
202,152
203,154
204,157
205,152
206,147
207,157
208,188
209,193
210,194
211,191
212,198
213,191
214,194
215,192
216,199
217,199
218,205
219,202
220,204
221,200
222,202
223,202
224,202
225,204
226,204
227,202
228,202
229,200
230,200
231,202
232,202
233,202
234,202
235,202
236,202
237,202
238,202
239,202
240,202
241,202
242,202
243,203
244,203
245,203
246,203
247,203
248,203
249,203
250,203
251,202
252,202
253,202
254,202
255,202
256,202
257,202
258,202
259,202
260,202
261,202
262,202
263,202
264,202
265,200
266,200
267,200
268,200
269,200
270,200
271,200
272,200
273,200
274,200
275,200
276,200
277,200
278,200
279,200
280,200
281,202
282,202
283,202
284,202
285,200
286,200
287,200
288,200
289,200
290,200
291,200
292,200
293,199
294,199
295,199
296,199
297,198
298,198
299,198
300,198
