X,Y
0,202
1,202
2,202
3,202
4,201
5,202
6,202
7,202
8,203
9,203
10,202
11,202
12,202
13,202
14,202
15,202
16,202
17,201
18,201
19,201
20,201
21,202
22,202
23,201
24,201
25,201
26,201
27,202
28,202
29,202
30,202
31,202
32,202
33,203
34,203
35,203
36,203
37,202
38,202
39,202
40,202
41,202
42,202
43,202
44,202
45,202
46,202
47,202
48,202
49,202
50,202
51,204
52,204
53,203
54,203
55,203
56,202
57,200
58,199
59,203
60,202
61,215
62,214
63,229
64,190
65,178
66,171
67,189
68,186
69,194
70,192
71,193
72,192
73,188
74,187
75,183
76,182
77,181
78,181
79,174
80,173
81,169
82,168
83,166
84,166
85,164
86,164
87,160
88,159
89,157
90,157
91,156
92,156
93,152
94,152
95,151
96,151
97,149
98,149
99,147
100,145
101,145
102,145
103,145
104,145
105,144
106,144
107,142
108,142
109,144
110,144
111,142
112,142
113,142
114,142
115,140
116,140
117,140
118,140
119,138
120,138
121,137
122,137
123,137
124,137
125,137
126,137
127,137
128,137
129,137
130,137
131,136
132,136
133,135
134,135
135,135
136,135
137,135
138,135
139,135
140,135
141,134
142,134
143,134
144,134
145,134
146,134
147,134
148,134
149,134
150,134
151,134
152,134
153,134
154,134
155,134
156,134
157,134
158,134
159,134
160,134
161,134
162,134
163,134
164,134
165,136
166,136
167,136
168,136
169,135
170,135
171,137
172,137
173,136
174,136
175,136
176,136
177,136
178,136
179,136
180,136
181,138
182,138
183,138
184,138
185,138
186,138
187,138
188,138
189,139
190,139
191,139
192,139
193,140
194,140
195,140
196,140
197,141
198,141
199,142
200,142
201,142
202,142
203,144
204,144
205,146
206,147
207,147
208,147
209,151
210,151
211,155
212,155
213,155
214,155
215,158
216,158
217,162
218,162
219,163
220,163
221,165
222,168
223,172
224,173
225,175
226,176
227,177
228,178
229,181
230,184
231,186
232,186
233,182
234,182
235,177
236,205
237,207
238,211
239,202
240,205
241,198
242,205
243,198
244,202
245,196
246,203
247,200
248,201
249,197
250,198
251,195
252,197
253,195
254,195
255,195
256,196
257,196
258,198
259,198
260,198
261,197
262,197
263,197
264,197
265,197
266,197
267,197
268,197
269,197
270,197
271,198
272,198
273,198
274,198
275,198
276,198
277,197
278,197
279,196
280,196
281,196
282,196
283,197
284,197
285,196
286,196
287,196
288,196
289,196
290,196
291,196
292,196
293,196
294,196
295,195
296,195
297,195
298,195
299,195
300,195
