X,Y
0,209
1,209
2,209
3,209
4,209
5,209
6,208
7,208
8,208
9,207
10,207
11,207
12,207
13,207
14,207
15,207
16,207
17,207
18,207
19,207
20,207
21,207
22,207
23,207
24,207
25,207
26,207
27,205
28,205
29,205
30,205
31,207
32,207
33,205
34,205
35,205
36,205
37,204
38,204
39,204
40,204
41,204
42,205
43,207
44,206
45,206
46,206
47,206
48,206
49,206
50,206
51,207
52,207
53,207
54,206
55,206
56,206
57,208
58,206
59,208
60,204
61,214
62,220
63,237
64,194
65,179
66,174
67,203
68,198
69,199
70,197
71,193
72,193
73,188
74,186
75,182
76,181
77,178
78,178
79,176
80,175
81,170
82,172
83,172
84,171
85,168
86,168
87,164
88,164
89,162
90,162
91,160
92,159
93,159
94,159
95,157
96,157
97,156
98,156
99,155
100,155
101,153
102,153
103,151
104,151
105,151
106,151
107,149
108,149
109,147
110,147
111,144
112,144
113,144
114,144
115,146
116,146
117,146
118,146
119,144
120,144
121,144
122,144
123,142
124,142
125,142
126,142
127,142
128,142
129,140
130,140
131,141
132,141
133,141
134,141
135,141
136,141
137,141
138,141
139,138
140,137
141,138
142,138
143,137
144,138
145,138
146,137
147,138
148,138
149,137
150,137
151,137
152,137
153,137
154,137
155,137
156,137
157,137
158,137
159,137
160,137
161,137
162,137
163,135
164,135
165,135
166,135
167,135
168,135
169,135
170,135
171,141
172,141
173,141
174,141
175,141
176,141
177,141
178,141
179,141
180,141
181,141
182,141
183,141
184,141
185,141
186,141
187,140
188,141
189,141
190,141
191,141
192,141
193,142
194,142
195,144
196,144
197,142
198,142
199,146
200,146
201,146
202,146
203,145
204,145
205,147
206,147
207,151
208,151
209,152
210,152
211,152
212,152
213,154
214,154
215,157
216,157
217,160
218,160
219,162
220,162
221,165
222,165
223,167
224,167
225,170
226,170
227,174
228,175
229,177
230,178
231,179
232,181
233,181
234,182
235,184
236,189
237,184
238,182
239,190
240,215
241,212
242,214
243,204
244,211
245,203
246,207
247,202
248,206
249,202
250,208
251,206
252,209
253,204
254,206
255,201
256,202
257,202
258,202
259,202
260,202
261,202
262,202
263,204
264,205
265,205
266,205
267,203
268,203
269,202
270,202
271,202
272,203
273,203
274,203
275,202
276,202
277,202
278,202
279,202
280,202
281,202
282,202
283,200
284,200
285,200
286,200
287,200
288,200
289,200
290,200
291,198
292,198
293,198
294,198
295,198
296,198
297,198
298,198
299,198
300,197
