X,Y
0,210
1,209
2,209
3,209
4,209
5,208
6,208
7,208
8,208
9,208
10,208
11,208
12,208
13,207
14,208
15,208
16,208
17,208
18,208
19,208
20,208
21,208
22,208
23,208
24,208
25,208
26,208
27,208
28,208
29,208
30,208
31,210
32,210
33,208
34,208
35,208
36,208
37,208
38,208
39,208
40,208
41,208
42,208
43,208
44,208
45,209
46,209
47,209
48,209
49,209
50,209
51,209
52,209
53,208
54,208
55,208
56,208
57,208
58,208
59,208
60,208
61,208
62,208
63,210
64,210
65,211
66,211
67,209
68,209
69,209
70,209
71,209
72,209
73,207
74,206
75,205
76,202
77,206
78,204
79,220
80,222
81,204
82,154
83,177
84,177
85,182
86,184
87,188
88,185
89,178
90,177
91,173
92,172
93,168
94,168
95,163
96,163
97,162
98,160
99,156
100,156
101,152
102,152
103,148
104,148
105,150
106,150
107,150
108,150
109,148
110,147
111,145
112,145
113,143
114,143
115,143
116,143
117,141
118,141
119,141
120,141
121,140
122,140
123,140
124,139
125,139
126,140
127,140
128,138
129,138
130,137
131,137
132,137
133,137
134,137
135,137
136,137
137,135
138,135
139,135
140,135
141,135
142,133
143,133
144,133
145,133
146,133
147,133
148,133
149,133
150,133
151,133
152,133
153,133
154,133
155,133
156,133
157,133
158,133
159,133
160,133
161,135
162,135
163,135
164,135
165,135
166,135
167,135
168,135
169,135
170,135
171,135
172,135
173,135
174,135
175,135
176,135
177,135
178,135
179,135
180,135
181,135
182,135
183,135
184,135
185,138
186,138
187,138
188,138
189,138
190,138
191,138
192,138
193,140
194,140
195,140
196,142
197,144
198,144
199,144
200,144
201,146
202,146
203,147
204,147
205,152
206,153
207,157
208,157
209,158
210,158
211,160
212,160
213,165
214,165
215,168
216,170
217,174
218,174
219,178
220,178
221,179
222,182
223,177
224,176
225,182
226,211
227,210
228,211
229,202
230,207
231,200
232,204
233,201
234,205
235,203
236,207
237,204
238,205
239,203
240,204
241,204
242,206
243,204
244,204
245,205
246,205
247,205
248,205
249,204
250,204
251,204
252,204
253,204
254,204
255,204
256,204
257,205
258,205
259,205
260,205
261,205
262,205
263,205
264,205
265,205
266,205
267,205
268,205
269,206
270,206
271,206
272,206
273,203
274,203
275,203
276,203
277,202
278,202
279,202
280,202
281,203
282,203
283,203
284,203
285,203
286,203
287,203
288,203
289,203
290,203
291,202
292,202
293,202
294,202
295,200
296,200
297,200
298,200
299,200
300,200
